species,year,annual,cumulative,case
N2O,2070,1.0500461129302274e-11,4.210215045394773e-09,GEN
N2O,2071,7.593829259453672e-11,4.28615333798931e-09,GEN
N2O,2072,1.5196288715886922e-10,4.438116225148179e-09,GEN
N2O,2073,7.678556017292906e-11,4.514901785321108e-09,GEN
N2O,2074,1.0390419876593076e-11,4.525292205197701e-09,GEN
N2O,2075,7.347247609304066e-11,4.598764681290741e-09,GEN
N2O,2076,1.449850223226367e-10,4.743749703613378e-09,GEN
N2O,2077,7.345038295647518e-11,4.817200086569853e-09,GEN
N2O,2078,9.169117724345136e-12,4.826369204294198e-09,GEN
N2O,2079,7.081252443413046e-11,4.897181728728329e-09,GEN
N2O,2080,1.3962397078355755e-10,5.0368056995118865e-09,GEN
N2O,2081,7.091558250202377e-11,5.10772128201391e-09,GEN
N2O,2082,8.834107354780725e-12,5.116555389368691e-09,GEN
N2O,2083,6.825637480736194e-11,5.184811764176053e-09,GEN
N2O,2084,1.3449051844727726e-10,5.31930228262333e-09,GEN
N2O,2085,6.845360366000344e-11,5.387755886283334e-09,GEN
N2O,2086,9.108409846011472e-12,5.396864296129345e-09,GEN
N2O,2087,6.519845928587221e-11,5.462062755415217e-09,GEN
N2O,2088,1.2955717498379144e-10,5.5916199303990084e-09,GEN
N2O,2089,6.607194001801658e-11,5.6576918704170256e-09,GEN
N2O,2090,8.778959406918233e-12,5.666470829823944e-09,GEN
N2O,2091,6.292177328393031e-11,5.729392603107874e-09,GEN
N2O,2092,1.2473280779396884e-10,5.854125410901843e-09,GEN
N2O,2093,6.377358139485947e-11,5.917898992296702e-09,GEN
N2O,2094,6.1054595650416e-11,5.9789535879471184e-09,GEN
N2O,2095,8.91415889484322e-12,5.987867746841961e-09,GEN
N2O,2096,1.1930452994199379e-10,6.107172276783955e-09,GEN
N2O,2097,6.155803737974213e-11,6.1687303141636976e-09,GEN
N2O,2098,5.9551347148377e-11,6.2282816613120746e-09,GEN
N2O,2099,8.54185536089288e-12,6.2368235166729674e-09,GEN
N2O,2100,5.7834552975930486e-11,6.2946580696488975e-09,GEN
N2O,2101,5.770665879411828e-11,6.352364728443016e-09,GEN
N2O,2102,5.833298618211166e-11,6.410697714625127e-09,GEN
N2O,2103,5.905211784427345e-11,6.469749832469401e-09,GEN
N2O,2104,6.255108071406529e-11,6.532300913183467e-09,GEN
N2O,2105,5.549391088111146e-11,6.587794824064577e-09,GEN
N2O,2106,5.5895306838781336e-11,6.643690130903359e-09,GEN
N2O,2107,5.6924348076736225e-11,6.700614478980095e-09,GEN
N2O,2108,6.056053463644263e-11,6.761175013616538e-09,GEN
N2O,2109,5.3421694392494845e-11,6.814596708009033e-09,GEN
N2O,2110,5.369064120981117e-11,6.868287349218844e-09,GEN
N2O,2111,5.487324624845619e-11,6.9231605954673e-09,GEN
N2O,2112,5.847958360235623e-11,6.981640179069657e-09,GEN
N2O,2113,5.1487501655365855e-11,7.033127680725022e-09,GEN
N2O,2114,5.1664185167943925e-11,7.084791865892966e-09,GEN
N2O,2115,5.289604985522857e-11,7.137687915748195e-09,GEN
N2O,2116,5.644817767612627e-11,7.194136093424321e-09,GEN
N2O,2117,4.9628881459804856e-11,7.243764974884126e-09,GEN
N2O,2118,4.9730302795765216e-11,7.293495277679891e-09,GEN
N2O,2119,5.09900959315972e-11,7.344485373611488e-09,GEN
N2O,2120,5.4478782352950455e-11,7.398964155964439e-09,GEN
N2O,2121,4.783972273125977e-11,7.446803878695699e-09,GEN
N2O,2122,4.7874795804797015e-11,7.494678674500495e-09,GEN
N2O,2123,4.9152817464241073e-11,7.543831491964737e-09,GEN
N2O,2124,4.870393642055639e-11,7.592535428385293e-09,GEN
Biogenic CO2,2026,1.583265689897076e-11,1.583265689897076e-11,REF
Biogenic CO2,2027,2.918420945167746e-11,4.501686635064822e-11,REF
Biogenic CO2,2028,9.429771101279716e-11,1.3931457736344538e-10,REF
Biogenic CO2,2029,3.728991162983547e-11,1.7660448899328085e-10,REF
Biogenic CO2,2030,4.9987595621518446e-11,2.265920846147993e-10,REF
Biogenic CO2,2031,6.08364038056785e-11,2.874284884204778e-10,REF
Biogenic CO2,2032,1.6196891264151822e-10,4.49397401061996e-10,REF
Biogenic CO2,2033,6.522346800601238e-11,5.146208690680083e-10,REF
Biogenic CO2,2034,7.5935453431421e-11,5.905563224994294e-10,REF
Biogenic CO2,2035,8.509184135548485e-11,6.756481638549143e-10,REF
Biogenic CO2,2036,2.1429061443523372e-10,8.89938778290148e-10,REF
Biogenic CO2,2037,8.69920581099735e-11,9.769308364001214e-10,REF
Biogenic CO2,2038,9.620145692506635e-11,1.0731322933251878e-09,REF
Biogenic CO2,2039,1.040132721647712e-10,1.177145565489959e-09,REF
Biogenic CO2,2040,2.550131731465906e-10,1.4321587386365496e-09,REF
Biogenic CO2,2041,1.0398622714590757e-10,1.5361449657824572e-09,REF
Biogenic CO2,2042,1.1199125004865771e-10,1.648136215831115e-09,REF
Biogenic CO2,2043,1.1877163223237034e-10,1.7669078480634852e-09,REF
Biogenic CO2,2044,2.8709340272464214e-10,2.0540012507881275e-09,REF
Biogenic CO2,2045,1.1750830670851554e-10,2.171509557496643e-09,REF
Biogenic CO2,2046,1.2758898771933036e-10,2.2990985452159732e-09,REF
Biogenic CO2,2047,1.3339121534701915e-10,2.4324897605629923e-09,REF
Biogenic CO2,2048,3.182187561560679e-10,2.7507085167190604e-09,REF
Biogenic CO2,2049,1.285541751427333e-10,2.8792626918617938e-09,REF
Biogenic CO2,2050,1.3744211667454868e-10,3.0167048085363422e-09,REF
Biogenic CO2,2051,1.4275859778290263e-10,3.159463406319245e-09,REF
Biogenic CO2,2052,3.393786408180042e-10,3.498842047137249e-09,REF
Biogenic CO2,2053,1.37950144983382e-10,3.636792192120631e-09,REF
